Source;Target;Weight
5;31;126.99540166659429
83;84;104.16666666666667
5;42;102.26687712481787
5;55;101.86150012658734
21;84;100.13351134846462
23;84;100.0561797752809
5;64;98.71449556233104
5;75;98.1659185884538
5;44;97.39046299655858
5;48;97.28593784931813
25;75;95.47311095983663
14;71;95.11458071014859
18;45;94.4739794176462
5;72;92.79058969199814
5;66;92.73056057866185
5;67;88.90845070422536
5;77;88.34507042253522
33;34;87.67558528428094
5;25;83.26774808140881
5;56;83.00469483568075
8;61;82.92142793870138
21;38;80.33915656682407
20;70;79.3575309030785
24;82;78.86676690270637
1;52;74.54642175455268
8;9;72.59807432163603
15;18;71.95041404706865
21;23;71.89293589955146
1;74;71.7190455303587
20;33;71.43918828712562
17;28;69.85476414419443
17;49;68.12309237343206
13;41;67.65463917525773
1;15;66.74631597549732
8;80;66.54628626459612
23;39;65.6316629399048
5;13;65.10635980833455
5;30;64.24053756501272
8;52;63.35773586907509
1;23;62.669910557670484
20;34;61.84513030470042
5;41;60.90417505030181
26;27;60.5449965651477
3;20;58.969607422326405
1;80;58.15657880060973
17;51;57.15474538505868
13;39;56.0322260720032
13;14;55.74292486506554
1;68;55.030300777038335
52;80;54.44100391134289
1;8;53.56227370128077
1;63;53.15845746005243
18;73;52.14307145000214
23;46;50.843044491599116
1;39;50.06230146645918
1;76;49.85863302904263
1;69;49.637054335698764
2;10;48.21068183722117
8;62;47.875387920744814
1;18;47.69538612357404
1;58;47.63883291846834
47;61;47.57878362103573
23;38;46.571644102116174
1;49;46.48740544246743
1;29;46.113695344992664
63;81;45.95959595959596
23;74;45.56601935441969
23;35;45.55339290453862
1;24;45.35869074313243
13;23;45.336209892273835
21;39;44.730160445140726
1;78;44.613719247929886
6;7;44.18859649122807
23;78;44.12387408301606
1;53;43.95205048469318
39;74;43.84805945499587
1;32;43.75750446087953
3;4;43.39931573802542
32;77;43.160377358490564
14;47;43.035131922752015
20;40;42.81895357938467
1;27;42.31018498176546
5;83;42.0690811535882
1;83;41.908329305622686
1;79;41.87424112037157
1;57;41.8022781660217
29;36;41.541389036754225
1;81;41.37069095986447
44;72;41.193778898696934
58;81;40.90232079508219
2;78;40.5953916463638
14;39;40.57969688443805
2;5;40.52802363312825
15;73;39.91456414363903
30;31;39.68824940047961
48;72;39.65811965811966
1;82;39.41646337452561
8;28;39.232006381161696
8;18;39.10481591418699
1;9;38.856976677507355
58;61;38.8038089938793
1;43;38.64925380495359
1;7;38.624402556253685
28;29;38.59002181955055
39;69;38.49062719464102
1;73;38.30535905209661
8;15;38.24102224704073
4;5;38.103164441192604
5;26;37.97698026952648
43;49;37.51067869008068
1;46;37.381544156926594
1;14;37.04775280522795
23;76;36.796434034921134
15;68;36.270997724742216
10;37;36.168975299410086
44;48;35.99271402550091
1;45;35.65761999204775
20;65;35.37495735243944
25;77;35.36135693215339
11;23;35.12620778648538
38;39;34.999401831853476
24;45;34.87644351126544
1;51;34.81277973786432
24;39;34.78682432889767
1;62;34.381630362657795
15;45;34.35635077363772
8;19;34.26889841464245
66;67;33.892405063291136
3;68;33.81336405529954
16;79;33.807478624059264
8;45;33.680627828272314
39;76;33.675657025001655
49;65;33.66666666666667
1;11;33.66556869243589
49;59;33.3014950166113
1;4;33.046853259516375
39;82;33.04032561480316
1;54;32.983052432997084
18;51;32.90715171903291
1;47;32.843302345670125
13;21;32.79716598075785
3;15;32.733231490692056
11;40;32.563025210084035
8;29;32.54288647668032
22;23;32.288408573252894
46;47;31.86548975693301
5;14;31.818612506061296
17;19;31.760640787626023
6;17;31.61311407222544
1;40;31.19182327353367
19;28;31.144508869427572
61;62;30.892228973456987
35;38;30.85056064105061
22;39;30.80050064121017
16;36;30.582002206775826
10;20;30.354274802674965
58;59;30.18479509766373
1;17;29.93107396841156
17;58;29.632723665362885
12;20;29.4179746740476
14;74;29.364215223181166
47;74;29.117728446685526
10;40;28.95373169030458
55;66;28.92111660658899
1;3;28.448175057297433
6;49;28.18849449204406
5;11;28.126405491774175
1;30;28.083174504743578
18;24;28.05522062744916
13;24;28.037857022139598
10;71;27.9397233201581
21;46;27.915858916119326
17;47;27.85954924604104
28;49;27.26180506345423
13;74;27.16241582742387
21;24;27.074350500120378
9;61;27.017109050207864
20;59;26.87070478140079
11;54;26.737146471491823
22;57;26.669600491979935
2;54;26.626887935856793
34;60;26.62207357859532
1;59;26.593678795829597
1;22;26.483089149531985
14;41;26.477377654662973
20;37;26.172538966807135
30;64;26.09098275263341
4;20;25.944604695884124
19;47;25.63928901810493
11;37;25.540666717137302
23;83;25.337078651685392
1;12;25.195417772705532
1;2;25.153960985685565
1;21;24.75538514055473
17;22;24.576288836748663
37;40;24.371135841724076
75;77;24.358974358974358
23;24;24.28209615030392
23;41;24.28019662921348
5;12;24.243471298998173
69;74;24.201825941332178
17;81;24.08505033399191
21;35;23.943736004961995
39;78;23.79837713521371
1;16;23.771795510462546
1;71;23.693923283096797
39;52;23.563573318031043
4;66;23.532796317606447
23;52;23.50623690725576
13;30;23.49170070673669
1;65;23.488319639117123
34;70;23.333333333333336
49;51;23.166676189932005
1;36;23.11395194326012
22;81;22.99329169558177
1;28;22.93652908185602
4;44;22.93591654247392
17;29;22.868093720280953
8;58;22.85868922201664
6;22;22.80869157626892
3;10;22.681053168430445
17;35;22.67396507697334
22;69;22.636401829524463
9;29;22.603188311921983
38;60;22.532903159727557
1;38;22.494607422031777
21;22;22.487886025019506
52;69;22.35565499762395
19;61;22.28114379467948
26;34;22.27765936833947
15;52;22.254629283954305
17;46;22.079205584814254
24;52;22.07036676854682
21;27;22.028866771857427
23;47;21.942385847477887
52;53;21.919971218420212
16;57;21.84698157746741
22;49;21.71844487839517
16;37;21.7070058750188
13;82;21.617458671384128
24;46;21.609653352281377
26;31;21.564008239252423
53;58;21.54888967575497
13;83;21.47766323024055
21;60;21.453725740600994
1;10;21.390582225474105
1;20;21.381949161304494
4;11;21.268143621084796
20;26;21.254598846517766
42;75;21.187002652519894
1;6;21.181412327338407
12;67;21.164921465968586
1;77;20.954164652811343
19;29;20.83580593688597
1;50;20.626661430642823
1;70;20.405497515212353
14;73;20.397884663812643
14;22;20.372680730888426
49;52;20.221225857311786
13;38;20.165932024334268
45;46;20.055209016455947
20;50;19.978249744114635
11;39;19.81428409514095
22;74;19.813254104830683
14;57;19.786132386632353
45;52;19.751920347332387
23;57;19.7315578365181
22;82;19.61947493362643
58;63;19.48777317410025
8;51;19.436850422765914
11;12;19.24487072315837
43;59;19.132653061224488
24;38;19.079823900828362
4;12;19.011581786450897
8;47;19.01033862750974
17;27;19.001937238601084
1;61;18.9811183964544
39;47;18.968849377163238
26;38;18.856975015798703
20;71;18.775006978691728
14;21;18.74533850612759
11;41;18.7281162464986
18;68;18.605157219018604
5;57;18.599936648717136
4;15;18.59231077292751
10;14;18.528534775674363
32;39;18.499187219876497
2;40;18.49824322792701
3;47;18.402539464653398
1;33;18.357954903650157
35;36;18.284962218339423
59;70;18.273809523809526
35;39;18.269537117108918
9;52;18.241525423728813
2;37;18.24020552344252
74;76;18.204021818773917
26;64;18.17310812690269
15;51;18.147452618818257
52;82;18.13885267275098
14;37;18.06127457096986
16;49;18.05894728932637
21;78;18.042238135696078
11;20;17.9383524136369
13;31;17.911444040643772
38;71;17.876646321876002
12;26;17.835335698366016
14;24;17.835248172199265
10;38;17.729996228997614
1;26;17.667547690326067
22;79;17.66689422619417
30;44;17.630683575626353
18;46;17.590569317878273
8;73;17.55228339735382
2;41;17.55178227360308
45;73;17.502612330198538
22;35;17.444384337454
15;49;17.43366458354677
37;71;17.36964236964237
5;37;17.367629198615113
15;61;17.299060759704098
7;22;17.281594571670908
1;60;17.222490736265506
8;36;17.22228987115134
14;38;17.21693111335154
13;77;17.182130584192436
31;83;17.1462829736211
6;35;17.11389694709214
58;60;16.876481330380386
2;4;16.854090033280784
17;63;16.844995253123958
4;67;16.818181818181817
15;23;16.79750532099193
2;39;16.79053124139829
22;28;16.749134789565314
39;57;16.736823024712493
11;78;16.598374887144942
15;39;16.57293459004645
4;54;16.53958944281525
7;28;16.514696829793785
22;78;16.4353458246588
9;58;16.39114827100468
15;24;16.382609951614068
12;40;16.353557129658146
18;36;16.325831842138516
8;81;16.325224071702944
39;71;16.268955033405902
15;32;16.25938547640817
3;8;16.231889545156243
22;27;16.226193230010026
52;62;16.20762711864407
13;44;16.207537603515295
47;69;16.207247961821437
49;58;16.143774549535507
13;69;16.09620387320551
2;66;16.043511133874784
22;63;16.005474593260853
13;47;15.710682167141918
4;37;15.686595686595686
36;63;15.686402934241551
31;72;15.624423538092604
59;65;15.595238095238095
3;14;15.57929735203884
4;10;15.36231884057971
18;52;15.337244983578262
8;68;15.302928683210371
34;71;15.244755244755247
27;39;15.225020644095789
14;76;15.169131130271936
28;52;15.155054227898024
31;41;15.141636690647482
23;40;15.062789160608062
52;61;15.038375439718582
16;22;15.028480366565677
17;65;15.02681343494214
28;36;14.934100760774985
17;36;14.914337724831444
39;46;14.902608442220817
5;79;14.875595033616332
32;40;14.768775434702185
11;15;14.761102678957045
16;63;14.70602633769031
3;11;14.691763802295112
28;51;14.599767231346178
55;77;14.486754966887418
5;50;14.424673038229376
3;18;14.40833599488981
30;83;14.38679245283019
5;10;14.371446067710611
13;75;14.363600317208565
10;39;14.334999004513957
16;35;14.234286949995548
21;57;14.209633539471698
1;66;14.18987953576301
65;70;14.153846153846153
16;81;14.059822783570764
3;37;14.053569698730989
5;32;14.052617592346532
24;80;13.997477931904161
49;63;13.98167723749119
22;29;13.965197754763565
33;60;13.91304347826087
23;37;13.902722947666767
53;59;13.898247978436657
21;76;13.868883080413948
1;37;13.627595696227885
11;50;13.620448179271708
23;69;13.610206867583745
38;57;13.545869798563068
25;67;13.539823008849558
37;65;13.537537537537538
49;81;13.516560958421424
5;74;13.499610379037229
16;51;13.439287429594376
15;50;13.381057268722467
12;38;13.30453443842155
17;43;13.260986020148957
4;56;13.232323232323232
20;68;13.213807686683838
18;47;13.172229077011044
38;43;13.16795269344487
3;23;13.147426603841971
39;68;12.996252302610683
16;83;12.98465266558966
36;81;12.982854481413558
23;82;12.957915032245197
55;75;12.926642893530312
3;52;12.91689447785675
40;70;12.911010558069382
14;69;12.871393929979893
47;62;12.795257843490804
12;54;12.79063221302708
5;71;12.776888604353394
27;38;12.775725452403897
29;52;12.729857137716362
1;25;12.727708225511876
2;20;12.686392026237371
44;66;12.685896105692743
18;81;12.666980983812667
51;52;12.658768167242743
2;11;12.64390149123233
13;64;12.620169502245272
15;46;12.591890454303678
51;81;12.558012558012557
32;52;12.492671356998189
29;49;12.486545203179777
3;73;12.469452590420332
17;26;12.452837432308785
52;57;12.451144349656131
22;71;12.406989744776004
24;74;12.348384345683693
14;82;12.312937435460343
2;50;12.286247591522159
6;60;12.27116704805492
5;54;12.270612924860995
15;27;12.223000934454678
18;19;12.200971649960026
37;70;12.196812196812196
22;32;12.133723814553427
39;43;12.132830010616964
10;78;12.127200862378729
22;40;12.125929252107968
16;18;12.119744169201134
52;73;12.089111453518232
32;37;12.080004532834721
16;50;12.068356219709209
51;61;12.038732557600483
10;12;11.944622643461706
37;59;11.931574431574433
21;71;11.92878383298944
9;36;11.916182288868265
54;78;11.907935661601352
21;41;11.872079439252337
72;77;11.858974358974358
57;80;11.832679515606346
22;46;11.832454958680941
22;53;11.829660569398436
45;51;11.81297733021871
8;53;11.790238285056251
13;48;11.755441008018327
15;58;11.725088873404117
26;60;11.71832219910196
31;48;11.710631494804156
32;33;11.700847689362867
7;39;11.604562345169281
3;12;11.602769802398242
19;62;11.58016633329824
2;13;11.575591442703058
22;36;11.563064483406784
21;26;11.562015516910877
3;71;11.54692082111437
40;65;11.529411764705882
23;51;11.471440797283492
14;34;11.446835712763692
4;58;11.422536355512227
30;48;11.40461215932914
23;50;11.330758426966293
10;43;11.325320642090828
12;25;11.268127693091785
38;78;11.208130128785445
13;42;11.19800924280128
4;50;11.193181818181818
45;68;11.140583554376658
68;73;11.13886113886114
24;78;11.126541119089554
36;58;11.125619055713083
22;76;11.086024202893356
22;43;11.052258053348565
20;32;10.96927444429424
23;60;10.931444390164469
26;75;10.874830459213332
66;77;10.864978902953585
52;68;10.843499720618365
1;64;10.840274338985965
20;62;10.783616397481047
46;74;10.77506755668498
13;76;10.770291854218092
4;59;10.762987012987013
54;67;10.725806451612904
3;70;10.71650124069479
47;73;10.686653771760156
34;38;10.664582767056267
52;54;10.630809185347184
4;73;10.606060606060606
20;54;10.598606662924688
44;50;10.54474043715847
22;65;10.52078032230704
7;13;10.473940435280642
24;53;10.45855242808537
19;51;10.401819097471272
45;56;10.399562123700054
38;76;10.33859221287679
14;70;10.287662476028126
1;44;10.271058323891323
47;76;10.241858955149336
1;34;10.21954121277466
28;35;10.184963029205838
9;17;10.16776934226955
30;34;10.135462022254476
52;58;10.098775389648749
9;18;10.088941097499582
8;79;10.06908660635902
14;29;10.053460839493976
20;57;10.04659269631684
38;82;9.989127480293558
15;57;9.95584945837444
26;70;9.941225860621326
6;23;9.917208752217622
6;38;9.899417271092926
24;57;9.81289302460834
72;75;9.615384615384615
26;44;9.580047074369245
3;65;9.551075268817204
9;28;9.549744119442227
34;40;9.502262443438914
13;55;9.49341162012699
57;71;9.478935698447893
69;76;9.367732877012855
6;28;9.302862419205908
76;83;9.272300469483566
7;49;9.270025839793282
39;73;9.241673548031928
27;52;9.209681561376478
42;77;9.195402298850574
33;57;9.191169382049551
15;60;9.182468237247015
13;27;9.137769447047797
20;60;9.096910091525373
1;31;9.076431459955284
4;70;8.974358974358974
6;21;8.820239851966363
68;72;8.791208791208792
27;47;8.70003223726628
23;27;8.699353081375554
18;56;8.643721515008643
56;66;8.559373116335141
29;38;8.557838746220732
6;52;8.455991674100504
21;74;8.45057379010164
72;73;8.44988344988345
55;72;8.354559347936831
9;79;8.33402232327408
31;66;8.314361169292415
64;72;8.305804624823029
27;28;8.27667254260052
7;74;8.271114322414899
1;55;8.23701503429689
74;79;8.184125193853093
29;58;8.166982576572577
57;82;8.134454663535339
42;72;8.123342175066313
30;60;8.121410992616898
31;79;7.6767854009475345
39;64;7.656806472367308
26;42;7.512160166768002
26;56;7.356763024269322
39;80;7.308803912850156
15;56;6.789734983567582
18;80;6.617887063431618
4;42;6.606583072100314
56;64;6.602395559450774
42;55;6.559716830326559
9;80;6.502607561929596
15;80;6.43002372077262
22;33;6.235203009182432
42;56;6.055008210180624
33;37;5.88066327196762
