id;label;count;avg_rating;norm_avg_rating;avg_weight;norm_avg_weight;weighted_avg_rating;norm_weighted_avg_rating;weighted_avg_weight;norm_weighted_avg_weight
1;Card Game;4884;6.2292258783783865;-0.6453408195752071;1.6504560196560218;-0.9050613190523225;6.921588088298485;-0.47621980430922584;1.924296597106325;-0.846616877965132
2;Ancient;563;6.615559094138542;0.28543902693588113;2.4020944937833058;0.5929861561807711;7.284895527537672;0.5099257573478283;2.6301140648843617;0.4132618125902185
3;Negotiation;508;6.159070984251973;-0.8143626870284154;2.1168023622047243;0.024386793420120345;7.10607674335625;0.02454799924108171;2.589568683874388;0.3408886228252727
4;Political;350;6.65039845714286;0.36937635260925816;2.6673071428571418;1.1215662555513373;7.368859045769642;0.7378325985040756;3.202542400612069;1.4350419398570606
5;Wargame;2539;6.923524403308381;1.027409666545085;2.7746352107128787;1.3354756636076706;7.38909729201785;0.7927663943965783;3.0347755013894937;1.135579329535918
6;Racing;504;6.092169325396822;-0.9755466422780572;1.5637658730158739;-1.0778384715958318;6.750656312305442;-0.9401894180190109;1.8014945482104439;-1.0658175801629861
7;Sports;345;6.448516695652174;-0.11701070216147656;1.7959350724637686;-0.6151153739475467;6.9615059345574775;-0.3678685770355723;1.9028333772623454;-0.8849285584584781
8;Party Game;1427;6.00547182200419;-1.1844240714214689;1.256211142256483;-1.6908081422144732;6.764204776475727;-0.9034140691938536;1.3504967529778602;-1.8708451370605497
9;Word Game;343;5.980903206997083;-1.2436164234440865;1.328551020408164;-1.546631685641224;6.792550119168962;-0.8264747311249202;1.3975289262343842;-1.7868930735859232
10;Civilization;260;6.930850038461538;1.0450590771711836;2.820649615384616;1.4271843308933436;7.5966854011332074;1.3562343291176049;3.193261430415144;1.4184754802374153
11;Medieval;770;6.6514998441558415;0.3720298879333579;2.2985772727272695;0.3866719280191607;7.232489406313106;0.36767691169387756;2.522210144090773;0.22065415318617732
12;Renaissance;211;6.864715639810432;0.8857236565694095;2.5994431279620867;0.9863103849803712;7.316799747942798;0.5965251548623121;2.755159524843785;0.636466986088578
13;Miniatures;784;7.1538972193877575;1.5824392773663565;2.615574617346939;1.0184611300214441;7.477989783212739;1.0340522206379887;2.7958158931226214;0.7090382872652512
14;Science Fiction;1125;6.58491408888889;0.2116070287565942;2.304879911111114;0.3992333546134921;7.321953714960595;0.6105148538075669;2.665548559282005;0.4765121095015907
15;Bluffing;930;6.323021344086016;-0.4193625044489625;1.670413225806451;-0.8652857576415398;7.009346872029954;-0.2380112632057416;2.052388350789987;-0.6179740938612669
16;Abstract Strategy;1078;6.326834591836736;-0.41017537268981547;1.8898504638218927;-0.42793800111159863;6.8757590645851945;-0.6006160688739687;2.01461112511058;-0.6854061478902167
17;Children's Game;1260;5.6968807777777695;-1.9279022738188616;1.1437595238095237;-1.914929004702169;6.243971294150933;-2.315512705804025;1.1971858506398132;-2.144503905372954
18;Deduction;737;6.335396445047484;-0.389547582760674;1.6506921302578017;-0.9045907405720461;7.123392096565035;0.07154802420926194;1.9602860824742252;-0.782375926488241
19;Electronic;164;5.694192987804875;-1.934377877355829;1.349851219512195;-1.5041794821044048;6.704989978979902;-1.0641440830279065;1.8660813995081607;-0.9505305529146748
20;Economic;1088;6.550283658088235;0.12817307653526044;2.5843561580882333;0.9562414117885911;7.484208713658787;1.0509326089682327;3.0789362651777874;1.2144059494418684
21;Adventure;760;6.523067144736842;0.06260123055786643;2.1771050000000014;0.14457251755298703;7.2618990023453724;0.447505011713191;2.7056779029995446;0.5481426759352324
22;Dice;1357;6.275916042741351;-0.5328517499159264;1.6603563743551955;-0.8853294906913151;6.970783849014582;-0.3426850184977467;2.0070928940363144;-0.6988261318854514
23;Fantasy;1865;6.592253340482567;0.2292892450227449;2.1178976943699706;0.026569837052358495;7.168484336251995;0.19394439496784818;2.5689154116660116;0.30402269256218734
24;Horror;502;6.463866673306771;-0.08002850839079048;2.0197693227091627;-0.16900418486807142;7.118829529533751;0.05916359509576553;2.4890050081748565;0.16138324382606323
25;Age of Reason;115;7.048563478260868;1.328662176669449;2.856242608695653;1.4981226817108642;7.321113561888722;0.608234379659623;2.937724447930494;0.9623439539169713
26;Nautical;412;6.571682257281559;0.1797280142424015;2.2891351941747575;0.36785346352668474;7.14931554457206;0.14191347901115098;2.67792287284743;0.4986001629758237
27;Pirates;282;6.212242978723406;-0.6862571583452842;1.7132762411347522;-0.7798579434679862;6.783689962575045;-0.8505243462910033;1.9642552695987539;-0.7752909583409339
28;Action / Dexterity;813;5.981742853628533;-1.2415934905694006;1.1845606396063968;-1.833610644067202;6.501548221831923;-1.6163573443013957;1.2454364107627736;-2.0583770308176272
29;Real-time;497;6.2172001408450654;-0.6743140315042487;1.4121885311871223;-1.3799385663159065;6.829014522123094;-0.7274973768296302;1.6847799679010882;-1.274152198278602
30;Aviation / Flight;162;6.823189320987651;0.7856756692795089;2.3528524691358026;0.49484470488770427;7.152483371743185;0.1505120882536243;2.246784813499112;-0.2709779198255388
31;World War II;842;6.969091211401418;1.137192271075698;2.867823752969123;1.521204395242527;7.243993551254154;0.3989032512866791;2.931763277753571;0.9517033115135999
32;American West;179;6.551792402234635;0.13180804393574;2.1190983240223455;0.028962743058824805;6.9925875545226885;-0.28350200958517446;2.2425073125496775;-0.2786132257524212
33;Trains;262;6.82559469465649;0.7914708565503703;2.787393129770992;1.3609027393789386;7.294028272191126;0.5347152734243797;2.4278539104451773;0.052229009975451414
